school,ambient,total_ambients
VIVER E APRENDER,BERCARIO,7
VIVER E APRENDER I,BERCARIO,7
VIVER E CONVIVER,SALA DE ED. INFANTIL PROPRIA ,7
VOVO AIDA RAMOS FERREIRA,BERCARIO,7
VOVO CECILIA,BERCARIO,7
WILSON REIS SANTOS,SALA DE ED. INFANTIL PROPRIA ,7
YOJIRO TAKAOKA,SALA DE ED. INFANTIL PROPRIA ,7
ZELIA GATTAI,SALA DE ED. INFANTIL PROPRIA ,7
ZION,BERCARIO,7
ZOE,BERCARIO,7
A MAO COOPERADORA - NUCLEO VILA NATAL,SALA DE ED. INFANTIL PROPRIA ,6
ABC DA CRIANCA,SALA DE ED. INFANTIL PROPRIA ,6
ABELARDO GALDINO PINTO - PIOLIN,SALA DE ED. INFANTIL PROPRIA ,6
ABELHA BELINHA,BERCARIO,6
ACONCHEGO II,SALA DE ED. INFANTIL PROPRIA ,6
ACUCENA JORGE LIAN,BERCARIO,6
AGLAEZINHA,SALA DE RECREACAO             ,6
AGUA AZUL,SALA DE ED. INFANTIL PROPRIA ,6
AIDA CONCEICAO PITTOL DA SILVA,BERCARIO,6
ALEGRIA,SALA DE RECREACAO             ,6
ALEGRIA DO SABER III,BERCARIO,6
ALGODAO DOCE,SALA DE AULA PROPRIA         ,6
ALICE DE SOUZA LIMA,BERCARIO,6
ALPS JARDIM SAO JOAO,BERCARIO,6
AMANHA-SER,SALA DE RECREACAO             ,6
AMIGUINHOS DE JESUS,SALA DE ED. INFANTIL PROPRIA ,6
ANA CLAUDINA DE CARVALHO FERRAZ DE CAMARGO,BERCARIO,6
ANA MARIA NACINOVIC CORREA,SALA DE ED. INFANTIL PROPRIA ,6
ANALIA FRANCO,SALA DE AULA PROPRIA         ,6
ANDORINHA DOS BEIRAIS,SALA DE ED. INFANTIL PROPRIA ,6
ANHANGUERA,SALA DE ED. INFANTIL PROPRIA ,6
ANNABEL,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIA MUOTRI LAMBERGA,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO ASSUNCAO FERREIRA,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO FRANCISCO LISBOA,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO LAPENNA,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO PEREIRA DE SOUZA NETO,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO PEREIRA DE SOUZA NETO,BERCARIO,6
ANTONIO PEREIRA LIMA,SALA DE ED. INFANTIL PROPRIA ,6
ANTONIO RAPOSO TAVARES,SALA DE ED. INFANTIL PROPRIA ,6
APRENDENDO BRINCANDO,BERCARIO,6
APRENDENDO COM ALEGRIA,SALA DE AULA PROPRIA         ,6
APROCIMA,SALA DE RECREACAO             ,6
AQUARELA KIDS,BERCARIO,6
ARACY DE ALMEIDA,SALA DE ED. INFANTIL PROPRIA ,6
ARTHUR BAPTISTA DA LUZ,SALA DE ED. INFANTIL PROPRIA ,6
AS PRINCESAS,SALA DE ED. INFANTIL PROPRIA ,6
ASAS DE ALGODAO,SALA DE AULA PROPRIA         ,6
ASBEN SEKOIA,SALA DE AULA PROPRIA         ,6
ATAULFO ALVES,SALA DE ED. INFANTIL PROPRIA ,6
AUGUSTO FROEBEL,SALA DE ED. INFANTIL PROPRIA ,6
AURELIANO LEITE,SALA DE AULA PROPRIA         ,6
AUTA DE SOUZA,BERCARIO,6
AUTA DE SOUZA,SALA DE ED. INFANTIL PROPRIA ,6
AVELINO DE CARVALHO,BERCARIO,6
BALTAZAR SANTANA,SALA DE AULA PROPRIA         ,6
BATUIRA,SALA DE AULA PROPRIA         ,6
BEM QUERER II,BERCARIO,6
BENJAMIN CONSTANT,SALA DE ED. INFANTIL PROPRIA ,6
BLANDINA MEIRELLES,BERCARIO,6
BOAVENTURA,BERCARIO,6
BOM JESUS DO CANGAIBA,SALA DE RECREACAO             ,6
BRAS MOOCA,BERCARIO,6
BRINCAR PARA CRESCER,SALA DE ED. INFANTIL PROPRIA ,6
CABREUVAS,SALA DE ED. INFANTIL PROPRIA ,6
CACHOEIRA DE SAO BENEDITO,SALA DE ED. INFANTIL PROPRIA ,6
CAMBALHOTA,SALA DE AULA PROPRIA         ,6
CAMINHANDO PARA O FUTURO,SALA DE ED. INFANTIL PROPRIA ,6
CAMINHAR,BERCARIO,6
CAMINHAR E PRECISO I,BERCARIO,6
CAMINHO DOURADO,SALA DE ED. INFANTIL PROPRIA ,6
CANTINHO DA IMAGINACAO,SALA DE ED. INFANTIL PROPRIA ,6
CANTINHO DA RENATA,BERCARIO,6
CANTINHO DA SERRA II,SALA DE ED. INFANTIL PROPRIA ,6
CANTINHO DO CRESCIMENTO,BERCARIO,6
CANTINHO DO TIO ESTEVAM,SALA DE ED. INFANTIL PROPRIA ,6
CARACOL,SALA DE ED. INFANTIL PROPRIA ,6
CARINHA DE ANJO,BERCARIO,6
CARLOS JACOB,BERCARIO,6
CASA BRANCA,SALA DE ED. INFANTIL PROPRIA ,6
CASA DA INFANCIA DO MENINO JESUS,BERCARIO,6
CASA DE ISABEL C.E.I.,SALA DE AULA PROPRIA         ,6
CASA DOS INOCENTES,SALA DE ED. INFANTIL PROPRIA ,6
CASA VERDE - WALTER ABRAHAO,BERCARIO,6
CATARINA KENTENICH CENTRO EDUCACIONAL CRECHE,SALA DE ED. INFANTIL PROPRIA ,6
CATULO DA PAIXAO CEARENSE,SALA DE ED. INFANTIL PROPRIA ,6
CEC CARRAOZINHO,SALA DE RECREACAO             ,6
CECILIA MARIA II,SALA DE ED. INFANTIL PROPRIA ,6
CECILIA MEIRELES,SALA DE ED. INFANTIL PROPRIA ,6
CENTRO INT ED JOVENS E ADULTOS - SANTANA/TUCURUVI,SALA DE AULA PROPRIA         ,6
CENTRO SOCIAL DA CRIANCA,SALA DE ED. INFANTIL PROPRIA ,6
CENTRO SOCIAL MARISTA IRMAO JUSTINO - CESOMAR,SALA DE AULA PROPRIA         ,6
CENTRO SOCIAL NOSSA SENHORA DA PENHA CENHA,SALA DE AULA PROPRIA         ,6
CHACARA DO JOCKEY,SALA DE ED. INFANTIL PROPRIA ,6
CHAPEUZINHO AMARELO,SALA DE ED. INFANTIL PROPRIA ,6
CHAQUIBE FANDI KALIL,SALA DE ED. INFANTIL PROPRIA ,6
CIA DOS SONHOS VI,BERCARIO,6
CIA DOS SONHOS VII,BERCARIO,6
CIDADE A. E. CARVALHO II,BERCARIO,6
CIDADE A. E. CARVALHO II,SALA DE ED. INFANTIL PROPRIA ,6
CIDADE DUTRA,BERCARIO,6
CIDADE FERNAO DIAS,SALA DE ED. INFANTIL PROPRIA ,6
CLARA PUGLIESE RODRIGUES,BERCARIO,6
CLAUDIO JANUARIO,SALA DE ED. INFANTIL PROPRIA ,6
CONCEICAO ROSA,SALA DE ED. INFANTIL PROPRIA ,6
CONCORDIA,BERCARIO,6
CONJ. HABITACIONAL GOITI,SALA DE ED. INFANTIL PROPRIA ,6
CONJUNTO HABITACIONAL SANTA ETELVINA VI,BERCARIO,6
CONSTRUINDO SONHOS,BERCARIO,6
CORACAO MATERNO,SALA DE RECREACAO             ,6
CORETO DE TAIPAS,BERCARIO,6
CORUJINHA DO SABER,BERCARIO,6
CORUJINHA ENCANTADA,BERCARIO,6
CORUJINHA III,BERCARIO,6
CORUJINHA IV,BERCARIO,6
CRESCENDO E APRENDENDO,SALA DE ED. INFANTIL PROPRIA ,6
CRESCER E APRENDER,SALA DE ED. INFANTIL PROPRIA ,6
CRIANCA FELIZ,SALA DE ED. INFANTIL PROPRIA ,6
CRISTO REDENTOR,SALA DE ED. INFANTIL PROPRIA ,6
CRISTOVAO II,BERCARIO,6
DESENHANDO O AMANHA,SALA DE AULA PROPRIA         ,6
DOCE INFANCIA IV,SALA DE AULA PROPRIA         ,6
DOMINGOS DELGADO,BERCARIO,6
DOMINGUINHOS,SALA DE ED. INFANTIL PROPRIA ,6
DORALICE PEREIRA DE SOUZA LEONARDO,SALA DE ED. INFANTIL PROPRIA ,6
DOUGLAS DANIEL DO NASCIMENTO,SALA DE ED. INFANTIL PROPRIA ,6
ECUMENICO STO EXPEDITO,SALA DE ED. INFANTIL PROPRIA ,6
EDNA ROSELY ALVES,SALA DE ED. INFANTIL PROPRIA ,6
EDUCANDARIO SAGRADA FAMILIA,SALA DE RECREACAO             ,6
ELIS REGINA,SALA DE ED. INFANTIL PROPRIA ,6
ELOHIM ADONAI,SALA DE AULA PROPRIA         ,6
ELOHIM KADOSH,SALA DE ED. INFANTIL PROPRIA ,6
ELZA NEGRO,SALA DE ED. INFANTIL PROPRIA ,6
ELZA VILLELA,BERCARIO,6
ELZA VILLELA,SALA DE ED. INFANTIL PROPRIA ,6
EMMANUEL,SALA DE ED. INFANTIL PROPRIA ,6
ERVA DO SERENO,BERCARIO,6
ESMERALDAS,SALA DE AULA PROPRIA         ,6
ESPACO DA COMUNIDADE VII,BERCARIO,6
ESPACO DA COMUNIDADE XI,BERCARIO,6
ESPACO KAIROS,SALA DE ED. INFANTIL PROPRIA ,6
ESPACO KAIROS LIVIERO,BERCARIO,6
ESPACO KAIROS VIII,SALA DE ED. INFANTIL PROPRIA ,6
ESTRADA TURISTICA DO JARAGUA,SALA DE ED. INFANTIL PROPRIA ,6
EVARISTO DA VEIGA,SALA DE ED. INFANTIL PROPRIA ,6
FAMILIA JUDA,SALA DE ED. INFANTIL PROPRIA ,6
FAMILIA MONTE BELO,SALA DE AULA PROPRIA         ,6
FAZENDA DO CARMO II A,SALA DE ED. INFANTIL PROPRIA ,6
FILADELFIA,SALA DE ED. INFANTIL PROPRIA ,6
FILHOS DO SOL,SALA DE ED. INFANTIL PROPRIA ,6
FLAVIO IMPERIO,SALA DE ED. INFANTIL PROPRIA ,6
FLOR DE LOTUS,SALA DE ED. INFANTIL PROPRIA ,6
FLORESCER,SALA DE RECREACAO             ,6
FLORESTA ENCANTADA,SALA DE ED. INFANTIL PROPRIA ,6
FRANCISCO PEREIRA SOBRINHO,SALA DE ED. INFANTIL PROPRIA ,6
FREGUESIA DO O,BERCARIO,6
FREI REGINALDO,SALA DE RECREACAO             ,6
FUTURO BRILHANTE,BERCARIO,6
FUTURO BRILHANTE II,BERCARIO,6
GALILEU MENON,SALA DE AULA PROPRIA         ,6
GEOVANNA SOUZA,BERCARIO,6
GLOBO DO SOL,SALA DE ED. INFANTIL PROPRIA ,6
GOTA DE ESPERANCA II,SALA DE ED. INFANTIL PROPRIA ,6
GOTA DE ESPERANCA VII,BERCARIO,6
GRAO DE GENTE II,SALA DE ED. INFANTIL PROPRIA ,6
GUARAPIRANGA I,BERCARIO,6
HARARATE,BERCARIO,6
HELIOPOLIS,SALA DE RECREACAO             ,6
IASE,SALA DE RECREACAO             ,6
INEZ MENEZES MARIA,SALA DE ED. INFANTIL PROPRIA ,6
INFANCIA FELIZ,SALA DE ED. INFANTIL PROPRIA ,6
INSTITUTO BLANDINA,SALA DE RECREACAO             ,6
INSTITUTO SEVERINO FABRIANI PARA CRIANCAS SURDAS,SALA DE AULA PROPRIA         ,6
IPE,SALA DE AULA PROPRIA         ,6
IRENE GOMES DOS SANTOS,BERCARIO,6
IRMA AGOSTINA,SALA DE RECREACAO             ,6
ISA SILVEIRA LEAL,SALA DE ED. INFANTIL PROPRIA ,6
ITABERABA,BERCARIO,6
JACANA,BERCARIO,6
JACARANDA,SALA DE ED. INFANTIL PROPRIA ,6
JACOMO TATTO - JARDIM DAS CEREJEIRAS,SALA DE ED. INFANTIL PROPRIA ,6
JACUI II,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM CAMARGO NOVO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM COLORADO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM DA VOVO ANA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM DAMASCENO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM DAS BORBOLETAS,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM DAS CAMELIAS,SALA DE AULA PROPRIA         ,6
JARDIM DAS FLORES,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM DAS IMBUIAS II,BERCARIO,6
JARDIM DOS SABIAS,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM EDITE,SALA DE AULA PROPRIA         ,6
JARDIM ELIANA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM ELIANA,BERCARIO,6
JARDIM FUJIHARA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM GUAIRACA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM GUARANI,SALA DE AULA PROPRIA         ,6
JARDIM GUARUJA - RITA MONTEIRO DE SOUZA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM ICARAI,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM IPORANGA,BERCARIO,6
JARDIM LEBLON,BERCARIO,6
JARDIM MANACAS,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM MARIA SAMPAIO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM MITSUTANI,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM MONJOLO I,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM MONTE ALEGRE,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM MONTE BELO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM NOVE DE JULHO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM PALMARES,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM POPULAR,BERCARIO,6
JARDIM ROSELY,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM RUTH,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM SANTO ANDRE,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM SAO FRANCISCO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM SAO JUDAS TADEU,BERCARIO,6
JARDIM SAO PEDRO,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM SAO PEDRO I,BERCARIO,6
JARDIM SILVA TELLES,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM SOMARA,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM TAIPAS,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM TIETE,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM TRES MARIAS,SALA DE ED. INFANTIL PROPRIA ,6
JARDIM VERA CRUZ,SALA DE RECREACAO             ,6
JOAO BENTO DE CARVALHO,SALA DE ED. INFANTIL PROPRIA ,6
JOAO CANDIDO,SALA DE ED. INFANTIL PROPRIA ,6
JOAO FERNANDES III,SALA DE ED. INFANTIL PROPRIA ,6
JOAO FERNANDES IV,SALA DE ED. INFANTIL PROPRIA ,6
JOAO FERNANDES VII,BERCARIO,6
JOAO MENDONCA FALCAO,SALA DE ED. INFANTIL PROPRIA ,6
JORGE JONES,SALA DE ED. INFANTIL PROPRIA ,6
JOSE BONIFACIO DE ANDRADA E SILVA,SALA DE ED. INFANTIL PROPRIA ,6
JOSE CLAUDIO VIEIRA,SALA DE ED. INFANTIL PROPRIA ,6
JOSE JOAQUIM DA SILVA,SALA DE ED. INFANTIL PROPRIA ,6
JOSE JOAQUIM DE SANTANA,BERCARIO,6
JOSE VERISSIMO,SALA DE ED. INFANTIL PROPRIA ,6
JULIA NORBERTO,SALA DE ED. INFANTIL PROPRIA ,6
JUREMA,SALA DE ED. INFANTIL PROPRIA ,6
LAPIS DE COR,SALA DE ED. INFANTIL PROPRIA ,6
LAR CANTINHO DO SABER,BERCARIO,6
LAR CRIANCA FELIZ,SALA DE ED. INFANTIL PROPRIA ,6
LAR DE AMOR MEIMEI,BERCARIO,6
LAURA PRADO,SALA DE ED. INFANTIL PROPRIA ,6
LELIA GONZALEZ,SALA DE AULA PROPRIA         ,6
LEOZINHO,BERCARIO,6
LETICIA RIBEIRO PORTO,SALA DE ED. INFANTIL PROPRIA ,6
LIBERDADE,SALA DE ED. INFANTIL PROPRIA ,6
LIGA SOLIDARIA - UNIDADE SABIA,SALA DE RECREACAO             ,6
LILIANE SANTANA,SALA DE AULA PROPRIA         ,6
LIMA BARRETO,SALA DE ED. INFANTIL PROPRIA ,6
LOURDINHA PINHEIRO II,SALA DE ED. INFANTIL PROPRIA ,6
LOURDINHA PINHEIRO IV,SALA DE ED. INFANTIL PROPRIA ,6
LOURIVAL BRANDAO DOS SANTOS,SALA DE AULA PROPRIA         ,6
LOURO ROSA,SALA DE ED. INFANTIL PROPRIA ,6
LUCIA HELENA PRADO BARRETO,SALA DE ED. INFANTIL PROPRIA ,6
LUIZA SOPHIA ROSCHEL,SALA DE ED. INFANTIL PROPRIA ,6
LUKINHA,SALA DE ED. INFANTIL PROPRIA ,6
LUZ DO MUNDO,BERCARIO,6
LYGIA FAGUNDES TELLES,SALA DE ED. INFANTIL PROPRIA ,6
LYGIA FAGUNDES TELLES,BERCARIO,6
MADRE PAULINA,SALA DE ED. INFANTIL PROPRIA ,6
MAE DA ESPERANCA,SALA DE ED. INFANTIL PROPRIA ,6
MAE DE DEUS,BERCARIO,6
MAE TRABALHADORA,SALA DE ED. INFANTIL PROPRIA ,6
MALVINA FENUCHI,SALA DE ED. INFANTIL PROPRIA ,6
MANOEL PRETO,SALA DE ED. INFANTIL PROPRIA ,6
MANUEL RODRIGUES SANTIAGO,SALA DE ED. INFANTIL PROPRIA ,6
MARCELA,BERCARIO,6
MARCILIO DIAS,SALA DE ED. INFANTIL PROPRIA ,6
MARGARIDAS AMARELAS,BERCARIO,6
MARIA APARECIDA NASCIMENTO,SALA DE ED. INFANTIL PROPRIA ,6
MARIA AUXILIADORA DA SILVA,SALA DE ED. INFANTIL PROPRIA ,6
MARIA CURSI,SALA DE RECREACAO             ,6
MARIA DA CONCEICAO SANTANNA,SALA DE ED. INFANTIL PROPRIA ,6
MARIA DE NAZARE,SALA DE ED. INFANTIL PROPRIA ,6
MARIA DE SOUSA AZEVEDO,SALA DE ED. INFANTIL PROPRIA ,6
MARIA HENRIQUE DE LIMA,SALA DE ED. INFANTIL PROPRIA ,6
MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO,SALA DE ED. INFANTIL PROPRIA ,6
MARIA IZABEL,BERCARIO,6
MARIA PENHA NASCIMENTO,SALA DE ED. INFANTIL PROPRIA ,6
MARIA TEREZA DE MACEDO COSTA,SALA DE ED. INFANTIL PROPRIA ,6
MARIALICE MENCARINI FORACCHI,SALA DE ED. INFANTIL PROPRIA ,6
MARINA NOGUEIRA DE SOUZA MARTINS,SALA DE ED. INFANTIL PROPRIA ,6
MARIO CALDANA,SALA DE ED. INFANTIL PROPRIA ,6
MARIO CELESTINO TEIXEIRA,SALA DE ED. INFANTIL PROPRIA ,6
MARIO QUINTANA,BERCARIO,6
MARITEL II,BERCARIO,6
MARTINS FONTES,SALA DE ED. INFANTIL PROPRIA ,6
MEIMEI,BERCARIO,6
MENINO DEUS,SALA DE ED. INFANTIL PROPRIA ,6
MOMENTOS FELIZES,SALA DE ED. INFANTIL PROPRIA ,6
MONUMENTO,SALA DE ED. INFANTIL PROPRIA ,6
MORRO GRANDE CT VIDA,BERCARIO,6
MORRO GRANDE CT VIDA,SALA DE ED. INFANTIL PROPRIA ,6
MUNDINHO DO MATHEUS,BERCARIO,6
MUNDO DA ALEGRIA II,BERCARIO,6
MUNDO DOS SONHOS,BERCARIO,6
MUNDO FELIZ,SALA DE AULA PROPRIA         ,6
MUNDO NOVO,BERCARIO,6
NAIR CORREA BUARQUE,SALA DE ED. INFANTIL PROPRIA ,6
NOSSA SENHORA DO CARMO,SALA DE ED. INFANTIL PROPRIA ,6
NOVE DE JULHO,SALA DE ED. INFANTIL PROPRIA ,6
NOVO CRUZEIRO,BERCARIO,6
NOVO HORIZONTE,SALA DE ED. INFANTIL PROPRIA ,6
NOVO MUNDO,BERCARIO,6
NUCLEO CULTURAL SONHO JOVEM,SALA DE RECREACAO             ,6
NUCLEO DO SABER,SALA DE AULA PROPRIA         ,6
O PEQUENO SEAREIRO,SALA DE ED. INFANTIL PROPRIA ,6
ODILIA ALVES ALMEIDA SANTOS,SALA DE ED. INFANTIL PROPRIA ,6
OLGA LOPES MALAGRINE,SALA DE ED. INFANTIL PROPRIA ,6
OLIVEIRA,SALA DE ED. INFANTIL PROPRIA ,6
ONDACAIMA I,SALA DE ED. INFANTIL PROPRIA ,6
ONDACAIMA I,BERCARIO,6
ORMINDA PINTO,SALA DE ED. INFANTIL PROPRIA ,6
OSCAR PEDROSO HORTA,SALA DE ED. INFANTIL PROPRIA ,6
OVIDIO DECROLY,SALA DE ED. INFANTIL PROPRIA ,6
PACAEMBU,SALA DE ED. INFANTIL PROPRIA ,6
PACHECO GATO,SALA DE ED. INFANTIL PROPRIA ,6
PADRE GREGORIO WESTRUPP,SALA DE RECREACAO             ,6
PAIS E FILHOS,BERCARIO,6
PARQUE CASA DE PEDRA,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE COCAIA,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE DAS PAINEIRAS,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE DO CARMO,BERCARIO,6
PARQUE MARIA DOMITILA,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE NOVO MUNDO II,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE SANTA MADALENA,SALA DE ED. INFANTIL PROPRIA ,6
PARQUE SAO RAFAEL II,SALA DE ED. INFANTIL PROPRIA ,6
PASSO A PASSO II,SALA DE ED. INFANTIL PROPRIA ,6
PASSOS DO FUTURO,SALA DE ED. INFANTIL PROPRIA ,6
PATATIVA DO ASSARE,SALA DE ED. INFANTIL PROPRIA ,6
PAULO CAMILHIER FLORENCANO,SALA DE ED. INFANTIL PROPRIA ,6
PAULO FONTAO FERRAZ,SALA DE ED. INFANTIL PROPRIA ,6
PAULO VI,SALA DE ED. INFANTIL PROPRIA ,6
PAULO ZINGG,SALA DE ED. INFANTIL PROPRIA ,6
PAZ E ESPERANCA,SALA DE ED. INFANTIL PROPRIA ,6
PE. FRANCO VILLA,SALA DE RECREACAO             ,6
PEDACINHO DO CEU II,BERCARIO,6
PENHA,SALA DE AULA PROPRIA         ,6
PENTAGRAMA I,BERCARIO,6
PENTAGRAMA V,SALA DE ED. INFANTIL PROPRIA ,6
PENTAGRAMA VII,SALA DE ED. INFANTIL PROPRIA ,6
PEQUENAS TURQUESAS II,BERCARIO,6
PEQUENOS DO BUTANTA III,BERCARIO,6
PEQUENOS GIGANTES,BERCARIO,6
PERO NETO,SALA DE ED. INFANTIL PROPRIA ,6
PEROBEIRAS,SALA DE ED. INFANTIL PROPRIA ,6
PERSEVERANCA I,SALA DE RECREACAO             ,6
PERSEVERANCA VIII,SALA DE ED. INFANTIL PROPRIA ,6
PIMPOLHINHO,BERCARIO,6
PIMPOLHO,SALA DE ED. INFANTIL PROPRIA ,6
PINGO DE GENTE,BERCARIO,6
PINTANDO O SETE,BERCARIO,6
PIRATININGA,SALA DE ED. INFANTIL PROPRIA ,6
PIRILAMPO,BERCARIO,6
PLENITUDE,BERCARIO,6
PRINCESA MELISSA,BERCARIO,6
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNID XII,SALA DE ED. INFANTIL PROPRIA ,6
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNIDADE XI,SALA DE ED. INFANTIL PROPRIA ,6
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA VII,BERCARIO,6
PROJETO ANCHIETA,SALA DE ED. INFANTIL PROPRIA ,6
PROJETO VIDA,SALA DE RECREACAO             ,6
RAFA GIRE IV,SALA DE ED. INFANTIL PROPRIA ,6
RAINHA DA PAZ,SALA DE ED. INFANTIL PROPRIA ,6
RAQUEL ZUMBANO ALTMAN,SALA DE ED. INFANTIL PROPRIA ,6
RECANTO DA ALEGRIA II,SALA DE ED. INFANTIL PROPRIA ,6
RECANTO DOS HUMILDES,SALA DE ED. INFANTIL PROPRIA ,6
RECANTO DOS NAVEGANTES,SALA DE ED. INFANTIL PROPRIA ,6
RECANTO INFANTIL COMUNITARIO DO PQ FIGUEIRA GRANDE,SALA DE ED. INFANTIL PROPRIA ,6
RELUZ,SALA DE ED. INFANTIL PROPRIA ,6
RIO CLARO,SALA DE ED. INFANTIL PROPRIA ,6
ROGACIONISTA,SALA DE RECREACAO             ,6
ROSA E CAROLINA AGAZZI,SALA DE AULA PROPRIA         ,6
RUGRATS - OS ANJINHOS III,SALA DE ED. INFANTIL PROPRIA ,6
SAMIR RACHID SALIBA,SALA DE ED. INFANTIL PROPRIA ,6
SAMUEL WAINER,SALA DE ED. INFANTIL PROPRIA ,6
SANTA CATARINA III,BERCARIO,6
SANTA CATARINA III,SALA DE AULA PROPRIA         ,6
SANTA CRISTINA,SALA DE RECREACAO             ,6
SANTA IZABEL,BERCARIO,6
SANTA IZABEL I,SALA DE ED. INFANTIL PROPRIA ,6
SANTA LUZIA,SALA DE RECREACAO             ,6
SANTA MAE APARECIDA,SALA DE ED. INFANTIL PROPRIA ,6
SANTA MARGARIDA,BERCARIO,6
SANTA TERESA,SALA DE ED. INFANTIL PROPRIA ,6
SANTA TEREZINHA,SALA DE RECREACAO             ,6
SANTO ANTONIO,SALA DE ED. INFANTIL PROPRIA ,6
SAO BERNARDO,SALA DE ED. INFANTIL PROPRIA ,6
SAO CESARIO,SALA DE AULA PROPRIA         ,6
SAO JOSE DE VILA PALMEIRAS,BERCARIO,6
SAO JOSE OPERARIO,SALA DE RECREACAO             ,6
SAO JOSE OPERARIO I,SALA DE ED. INFANTIL PROPRIA ,6
SAO LUIS GONZAGA,SALA DE ED. INFANTIL PROPRIA ,6
SAO MIGUEL,BERCARIO,6
SAO NORBERTO,SALA DE ED. INFANTIL PROPRIA ,6
SAO VICENTE PALLOTTI,SALA DE AULA PROPRIA         ,6
SEMEANDO O BEM,BERCARIO,6
SEMENTINHA DA ESPERANCA,BERCARIO,6
SEMENTINHA DA VIDA,BERCARIO,6
SERGIO CARDOSO,SALA DE ED. INFANTIL PROPRIA ,6
SO FELICIDADE,SALA DE ED. INFANTIL PROPRIA ,6
SOL REI,SALA DE ED. INFANTIL PROPRIA ,6
SONHO DE CRIANCA,SALA DE ED. INFANTIL PROPRIA ,6
SONHO ENCANTADO,SALA DE ED. INFANTIL PROPRIA ,6
TABOR,BERCARIO,6
TAMOIO,BERCARIO,6
TAPAJOS,SALA DE ED. INFANTIL PROPRIA ,6
TATIANA BELINKY,SALA DE ED. INFANTIL PROPRIA ,6
TIAOZINHO,SALA DE RECREACAO             ,6
TIDE SETUBAL,SALA DE ED. INFANTIL PROPRIA ,6
TODAS AS CORES,SALA DE ED. INFANTIL PROPRIA ,6
TOMAS ANTONIO GONZAGA,SALA DE ED. INFANTIL PROPRIA ,6
TUTULANDIA,SALA DE ED. INFANTIL PROPRIA ,6
UNIVERSO DOS PEQUENINOS,BERCARIO,6
VALE ENCANTADO,SALA DE ED. INFANTIL PROPRIA ,6
VANDA COELHO DE MORAES,SALA DE ED. INFANTIL PROPRIA ,6
VENTURA BRANCO,SALA DE ED. INFANTIL PROPRIA ,6
VICENTE DE CARVALHO,SALA DE ED. INFANTIL PROPRIA ,6
VICENTE PAULO DA SILVA,SALA DE ED. INFANTIL PROPRIA ,6
VILA ATLANTICA,BERCARIO,6
VILA BASILEIA,SALA DE ED. INFANTIL PROPRIA ,6
VILA CHUCA,SALA DE ED. INFANTIL PROPRIA ,6
VILA DO SOL,SALA DE RECREACAO             ,6
VILA FLAVIA,SALA DE ED. INFANTIL PROPRIA ,6
VILA LIBANESA,SALA DE ED. INFANTIL PROPRIA ,6
VILA LONDRINA,SALA DE RECREACAO             ,6
VILA MONUMENTO,SALA DE ED. INFANTIL PROPRIA ,6
