school,ambient,total_ambients
ALVARES DE AZEVEDO,SALA DE AULA PROPRIA         ,16
AYRTON SENNA DA SILVA,SALA DE ED. INFANTIL PROPRIA ,16
BUTANTA,SALA DE ED. INFANTIL PROPRIA ,16
CAFU,BERCARIO,16
CAMINHO DO MAR,SALA DE ED. INFANTIL PROPRIA ,16
CARLOS CHAGAS,SALA DE AULA PROPRIA         ,16
CARLOS DE ANDRADE RIZZINI,SALA DE AULA PROPRIA         ,16
CARMELO CALI,SALA DE ED. INFANTIL PROPRIA ,16
CASTRO ALVES,SALA DE AULA PROPRIA         ,16
CLARICE LISPECTOR,SALA DE ED. INFANTIL PROPRIA ,16
COELHO NETO,SALA DE AULA PROPRIA         ,16
ELISABETH QUINELLO,SALA DE ED. INFANTIL PROPRIA ,16
FAGUNDES VARELLA,SALA DE AULA PROPRIA         ,16
GUARAPIRANGA,SALA DE ED. INFANTIL PROPRIA ,16
HORIZONTE AZUL,SALA DE ED. INFANTIL PROPRIA ,16
JAGUARE,SALA DE AULA PROPRIA         ,16
JARDIM ANGELA - TULA PILAR FERREIRA,SALA DE ED. INFANTIL PROPRIA ,16
JARDIM LAPENNA I,SALA DE ED. INFANTIL PROPRIA ,16
JOAO DE DEUS CARDOSO DE MELLO,SALA DE AULA PROPRIA         ,16
JOAO RIBEIRO DE BARROS,SALA DE AULA PROPRIA         ,16
M BOI MIRIM II,SALA DE AULA PROPRIA         ,16
MAURICIO GOULART,SALA DE AULA PROPRIA         ,16
NOVO IPE I,SALA DE ED. INFANTIL PROPRIA ,16
OCTAVIO PEREIRA LOPES,SALA DE AULA PROPRIA         ,16
OSVALDO QUIRINO SIMOES,SALA DE AULA PROPRIA         ,16
PARQUE BOA ESPERANCA II,SALA DE AULA PROPRIA         ,16
PLINIO DE QUEIROZ,SALA DE AULA PROPRIA         ,16
PROCOPIO FERREIRA,SALA DE AULA PROPRIA         ,16
ROSA DA CHINA,SALA DE ED. INFANTIL PROPRIA ,16
TIA HILDA DA SILVA,BERCARIO,16
VIDA E CULTURA,BERCARIO,16
VLADIMIR HERZOG,SALA DE AULA PROPRIA         ,16
ALTINO ARANTES,SALA DE AULA PROPRIA         ,15
ANALIA FRANCO BASTOS,SALA DE AULA PROPRIA         ,15
ANGLICANA ANA PAULA QUINTAO,BERCARIO,15
ANTONIO ALVES VERISSIMO,SALA DE AULA PROPRIA         ,15
ARMANDO ARRUDA PEREIRA,SALA DE AULA PROPRIA         ,15
ARTUR NEIVA,SALA DE AULA PROPRIA         ,15
AUGUSTA CORDEIRO DA ROCHA,SALA DE ED. INFANTIL PROPRIA ,15
CAMINHO DO FUTURO,BERCARIO,15
CAMPO LIMPO,SALA DE ED. INFANTIL PROPRIA ,15
CAPISTRANO DE ABREU,SALA DE AULA PROPRIA         ,15
CASA DOM MACARIO,SALA DE RECREACAO             ,15
CIDADE DE OSAKA,SALA DE AULA PROPRIA         ,15
CITY JARAGUA IV,SALA DE AULA PROPRIA         ,15
CONSTRUINDO SONHOS,SALA DE ED. INFANTIL PROPRIA ,15
CORA CORALINA,SALA DE ED. INFANTIL PROPRIA ,15
DIAS GOMES,SALA DE AULA PROPRIA         ,15
DULCE MARINHO,BERCARIO,15
FAZENDA PEDRO E MARIA V,BERCARIO,15
GUILHERME DE ALMEIDA,SALA DE AULA PROPRIA         ,15
HEITOR DE ANDRADE,SALA DE AULA PROPRIA         ,15
HELEN KELLER,SALA DE ED. ESPECIAL PROPRIA ,15
JARDIM CAPELA,SALA DE ED. INFANTIL PROPRIA ,15
JARDIM PAULO VI,SALA DE AULA PROPRIA         ,15
JOAO XXIII,SALA DE AULA PROPRIA         ,15
JULIO DE OLIVEIRA,SALA DE AULA PROPRIA         ,15
LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA,SALA DE AULA PROPRIA         ,15
MARGARIDA MARIA ALVES,SALA DE ED. INFANTIL PROPRIA ,15
MARIA AMELIA GONCALVES,BERCARIO,15
MURURES,SALA DE AULA PROPRIA         ,15
NEUZA AVELINO DA SILVA MELO,SALA DE AULA PROPRIA         ,15
OLAVO FONTOURA,SALA DE AULA PROPRIA         ,15
OLIVAL COSTA,SALA DE AULA PROPRIA         ,15
OLIVEIRA VIANA,SALA DE AULA PROPRIA         ,15
PEDRO AMERICO,SALA DE AULA PROPRIA         ,15
PEDRO FUKUYEI YAMAGUCHI FERREIRA,SALA DE AULA PROPRIA         ,15
PLINIO AYROSA,SALA DE AULA PROPRIA         ,15
PLINIO SALGADO,SALA DE AULA PROPRIA         ,15
RODRIGO MELLO FRANCO DE ANDRADE,SALA DE AULA PROPRIA         ,15
RODRIGUES DE CARVALHO,SALA DE AULA PROPRIA         ,15
SONHO INFANTIL,SALA DE AULA PROPRIA         ,15
THEO DUTRA,SALA DE AULA PROPRIA         ,15
TIA ALZIRA,BERCARIO,15
VILA MEDEIROS,SALA DE ED. INFANTIL PROPRIA ,15
8 DE MAIO,SALA DE AULA PROPRIA         ,14
ABAYOMI II,SALA DE ED. INFANTIL PROPRIA ,14
AGAPE,BERCARIO,14
AGUAS DE MARCO,SALA DE AULA PROPRIA         ,14
ALCEU AMOROSO LIMA,SALA DE AULA PROPRIA         ,14
ALECRIM DOURADO,BERCARIO,14
ALEXANDRE VANNUCHI LEME,SALA DE AULA PROPRIA         ,14
ALICE ALVES,SALA DE ED. INFANTIL PROPRIA ,14
ALTO ALEGRE,SALA DE ED. INFANTIL PROPRIA ,14
ANTENOR NASCENTES,SALA DE AULA PROPRIA         ,14
BETEL,SALA DE ED. INFANTIL PROPRIA ,14
BRASIL-JAPAO,SALA DE AULA PROPRIA         ,14
CAMPO LIMPO II,SALA DE AULA PROPRIA         ,14
CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS,SALA DE AULA PROPRIA         ,14
CARLOS FRANCISCO GASPAR,SALA DE AULA PROPRIA         ,14
CARMEN DIVA MARTINS,SALA DE ED. INFANTIL PROPRIA ,14
DAMA ENTRE RIOS VERDES,SALA DE AULA PROPRIA         ,14
DANYLO JOSE FERNANDES,SALA DE AULA PROPRIA         ,14
DILERMANDO DIAS DOS SANTOS,SALA DE AULA PROPRIA         ,14
DOS ANJOS,SALA DE ED. INFANTIL PROPRIA ,14
EDSON RODRIGUES,SALA DE AULA PROPRIA         ,14
ENEAS CARVALHO DE AGUIAR,SALA DE AULA PROPRIA         ,14
ESTRELA DA MANHA,BERCARIO,14
FERNANDO GRACIOSO,SALA DE AULA PROPRIA         ,14
FLORESCER,SALA DE ED. INFANTIL PROPRIA ,14
FORCA E ACAO COMUNITARIA,SALA DE ED. INFANTIL PROPRIA ,14
FORTE DOS REIS MAGOS,SALA DE AULA PROPRIA         ,14
FRANCISCO ALVES MENDES FILHO - CHICO MENDES,SALA DE AULA PROPRIA         ,14
FRANCISCO REBOLO,SALA DE AULA PROPRIA         ,14
FUTURO BRILHANTE VI,BERCARIO,14
HERALDO BARBUY,SALA DE AULA PROPRIA         ,14
HERCILIA DE CAMPOS COSTA,SALA DE AULA PROPRIA         ,14
INACIO MONTEIRO,SALA DE AULA PROPRIA         ,14
JAIRO RAMOS,SALA DE AULA PROPRIA         ,14
JARDIM DAS LARANJEIRAS,SALA DE AULA PROPRIA         ,14
JARDIM DAS ORQUIDEAS,BERCARIO,14
JARDIM KLEIN,SALA DE ED. INFANTIL PROPRIA ,14
JARDIM MYRNA,SALA DE ED. INFANTIL PROPRIA ,14
JARDIM SILVA TELES,SALA DE AULA PROPRIA         ,14
JOAQUIM BENTO ALVES DE LIMA NETO,SALA DE AULA PROPRIA         ,14
JOAQUIM OSORIO DUQUE ESTRADA,SALA DE AULA PROPRIA         ,14
JOSE DO PATROCINIO,SALA DE AULA PROPRIA         ,14
JOSE LINS DO REGO,SALA DE AULA PROPRIA         ,14
JULIO MESQUITA,SALA DE AULA PROPRIA         ,14
LEONARDA SOARES ALVES,SALA DE ED. INFANTIL PROPRIA ,14
LEONARDO VILLAS BOAS,SALA DE AULA PROPRIA         ,14
LOURENCO FILHO,SALA DE AULA PROPRIA         ,14
MARCILIO DIAS,SALA DE AULA PROPRIA         ,14
MARCOS MELEGA,SALA DE AULA PROPRIA         ,14
MARIO LAGO,SALA DE AULA PROPRIA         ,14
MAURICIO SIMAO,SALA DE AULA PROPRIA         ,14
MENINOS,SALA DE ED. INFANTIL PROPRIA ,14
MONTEIRO LOBATO,SALA DE ED. INFANTIL PROPRIA ,14
MORRO DOCE,SALA DE ED. INFANTIL PROPRIA ,14
NELSON MANDELA,SALA DE ED. INFANTIL PROPRIA ,14
PAULO SETUBAL,SALA DE AULA PROPRIA         ,14
PIRAJUCARA,SALA DE ED. INFANTIL PROPRIA ,14
RAIO DE SOL II - MESTRE PAULO FREIRE,SALA DE AULA PROPRIA         ,14
RAUL DE LEONI,SALA DE AULA PROPRIA         ,14
ROQUETTE PINTO,SALA DE AULA PROPRIA         ,14
RUACH,SALA DE ED. INFANTIL PROPRIA ,14
TATIANA BELINKY,SALA DE AULA PROPRIA         ,14
TIAOZINHO,SALA DE ED. INFANTIL PROPRIA ,14
UIRAPURU,SALA DE ED. INFANTIL PROPRIA ,14
VERA ALVARENGA II,SALA DE ED. INFANTIL PROPRIA ,14
VILA GUSTAVO,SALA DE AULA PROPRIA         ,14
ZULMIRA CAVALHEIRO FAUSTINO,SALA DE AULA PROPRIA         ,14
AGUAS DE MARCO,BERCARIO,13
AIDA CONCEICAO PITTOL DA SILVA,SALA DE AULA PROPRIA         ,13
AMOR PERFEITO,SALA DE ED. INFANTIL PROPRIA ,13
ANGLICANA CRISTINA NARDINELLI,SALA DE ED. INFANTIL PROPRIA ,13
ANITA GARIBALDI,SALA DE ED. INFANTIL PROPRIA ,13
ARCO IRIS,SALA DE ED. INFANTIL PROPRIA ,13
ARMANDO DE SALLES OLIVEIRA,SALA DE AULA PROPRIA         ,13
ATELIE DA INFANCIA,BERCARIO,13
AYRES MARTINS TORRES,SALA DE AULA PROPRIA         ,13
BARTOLOMEU CAMPOS DE QUEIROS,SALA DE AULA PROPRIA         ,13
BRASILIO MACHADO NETO,SALA DE AULA PROPRIA         ,13
