escola,average_age
CAPES - CENTRO ANHANGUERA DE PROMOCAO E EDUC SOC UNID II,59
CARITAS - SENHOR DOS PASSOS,59
INSTITUTO SOCIAL SANTA LUCIA,59
ASSOC CRIA ADOL JOVEM ICARAI UNID X CS,59
SOCIEDADE AMIGOS DO DISTRITO DE PERUS X,59
ASS COM FLORESTAN FERNANDES UNID VIII MP,59
CARITAS - NOSSA SENHORA DAS GRACAS,59
CENTRO DE EDUCACAO DA ZONA LESTE,59
AEC PADRE LUIZ SUTTER UNID VIII SM,59
UNAS-UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO,59
SOCIEDADE AMIGOS DE PERUS - UNID. I,59
AVIB-ASSOCIACAO DE VOLUNTARIOS INTEGRADOS NO BRASIL,59
AEC PADRE LUIZ SUTTER UNID XIX SM,59
ASSOCIACAO COMUNITARIA JARDIM IDEAL,59
ASS MORADORES DA ZONA NORTE,59
CENTRO DE EDUCACAO SOCIAL FORCA DA MULHER,59
CENTRO DE ASSISTENCIA SOCIAL DO JD PERI - UNID I,59
SOC MORAD JD IMBUIAS UNID I CS,59
CENTRO DE EDUC DA ZONA LESTE UNID VIII MP,59
CENTRO DE EDUCACAO DA ZONA LESTE UNID IV PE,58
CENTRO COMUN JD AUTODROMO UNID I SA,58
ASSOC COMUN CANTINHO DO CEU UNID II CS,58
ASS TRES IRMAOS UNID X MP,58
ASS COMUNITARIA JD IDEAL,58
CENTRO COM JD AUTODROMO UNID VII - CS,58
ASS TRES IRMAOS UNID II IQ,58
ASS DE MUTUARIOS E MORADORES DA COHAB UNID I PE,58
ASSOCIACAO CANTAREIRA UNID XII FO,58
ASSOCIACAO ALEGRIA DE VIVER UNID I PJ,58
SOC MORAD JD IMBUIAS UNID II,58
CLUBE DE MAES JD VISTA ALEGRE UNID III FO,58
AEC PADRE LUIZ SUTTER UNID XII SM,58
INSTITUTO OIKOS,58
AVIB ASS DOS VOL INT DO BRASIL UNID IX G,58
ASSOCIACAO CONQUISTANDO UM ESPACO III,58
CARITAS - SAO JOAO BATISTA - PQ LAGO,57
GRUPO ORG EM DEFESA DA EDUC E CULTURA,57
ASS TRES IRMAOS,57
CASP CENTRAL DE ASS E SOCIEDADES POPULARES XIII,57
MOVA - ASS COMUNITARIA SANTA LUZIA UNID II MP,57
UNAS NUCLEO MINA DOIS UNID I IP,57
ESPACO FORM ASSES E DOCUMENTACAO UNID XXXVI CS,57
AEC PADRE LUIZ SUTTER UNID XXVI SM,57
ASSOCIACAO ALEGRIA DE VIVER UNID III,57
SOCIEDADE AMIGOS DO DISTRITO DE PERUS - SADIP,57
CAPES - CENTRO ANHANGUERA DE PROM E EDUC SOC UNID III,57
ASSOCIACAO COMUNITARAIA DO JARDIM IDEAL - UNID VII CS,57
SOCIEDADE AMGOS DO DISTRITO DE PERUS SADIP XVI,57
OBRAS SOCIAIS DE VISTA ALEGRE UNID V FO,57
ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO,56
ASSOCIACAO CANTAREIRA UNID VII FO,56
SOCIEDADE AMIGOS DO DISTRITO DE PERUS XIV,56
CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA II,56
CARITAS - SAO LUIZ GONZAGA,56
AVIB ASS DOS VOL INT DO BRASIL UNID V G,56
CENTRO COMUNITARIO RAPOSO TAVARES,56
OBRAS SOCIAIS DE VISTA ALEGRE UNID I FO,56
CARITAS - SAO LUCAS,56
ESPACO FORM ASSES E DOCUMENTACAO,56
CONSELHO COMUNITARIO DA VILA SOLANGE UNID V G,56
CAPES - CENTRO ANHAGUERA DE PROMOCAO E DUCACAO SOCIAL UNID I,56
UNAS UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO,56
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID IV FO,56
ASS BENEFICENTE COMUNITARIA BEM QUERER,56
ASSOCIACAO CANTAREIRA UNID IV FO,56
ASSOCIACAO EDUCAIONAL E CULTURAL PADRE LUIZ SUTTER,56
ASSOCIACAO CANTAREIRA UNID I FO,56
ASSOCIACAO CANTAREIRA UNID XIV FO,55
INSTITUTO SOCIAL SANTA LUCIA UNID X,55
CLUBE DE MAES MARIA DAS DORES UNID II FO,55
CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL UNI IV,55
CARITAS - SANTA MARIA GORETTI,55
SOCIEDADE AMIGOS DE PERUS - UNID. IV,55
COMUNIDADE CRISTA AVIVAMENTO PLENO II,55
ASSOC BENEF OIKOS UNID VI,55
ASSOCIACAO CANTAREIRA,55
ASS BENEFICENTE COMUNITARIA BEM QUERER II,55
INSTITUTO SOCIAL SANTA LUCIA - UNID VIII - CL,55
ASSOCIACAO CANTAREIRA UNID XIII FO,55
CENTRO DE EDUCACAO DA ZONA LESTE XII,54
CENTRO COMUN JD AUTODROMO UNID III SA,54
AEC PADRE LUIZ SUTTER UNID XL,54
ASS MORADORES ZONA NORTE UNID IV JT,54
INSTITUTO SOCIAL SANTA LUCIA - UNID I CL,54
ASS CULT BENEF VL NV CACHOEIRINHA UNID II FO,54
SOCIEDADE DE AMPARO FRATERNO CASA DO CAMINHO UNID I SA,54
CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA,54
ASSOCIACAO CONQUISTANDO UM ESPACO V,54
ASS COM FLORESTAN FERNANDES UNID VII MP,54
COMUNIDADE CRISTA DO AVIVAMENTO PLENO,54
ASS MORAD JD SANTA CECILIA,54
SOCIEDADE AMIGOS DO DISTRITO DE PERUS XI,54
SOCIEDADE SANTO MARTIRES UNID VIII MB,53
ASS MORADORES ZONA NORTE - NUCLEO JD SAO JOAO,53
SOCIEDADE SANTO MARTIRES UNID II MB,53
ASSOCIACAO COMUNITARIA JARDIM IDEAL - UNID XIII CS,53
ASS SOC CULT MADRE TERESA DE JESUS UNID I FO,53
OBR SOC NS SRA AQUIROPITA - CENT SOC DOM ORIONE,53
SOC AMIGOS DO DISTRITO DE PERUS - SADIP,53
CAPES CENTRO DE PROMOCAO E EDUC SOCIAL V,52
ASSOC CRIA ADOL JOVEM ICARAI - UNI XIII,52
CPDDH FREI TITO DE ALENCAR LIMA UNID V SA,52
ASS CULT ESP BENEF VL NV CACHOEIRINHA UNID I FO,52
OBRA SOCIAL DA PAROQUIA CRISTO RESSUSCITADO,52
ASSOCIACAO CONQUISTANDO UM ESPACO IV,52
ASSOC BENEF OIKOS UNIDADE VII,51
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID VI FO,51
CENTRO COM NOSSA SENHORA APARECIDA UNID II CV,50
ASSOCIACAO EVANGELICA BENEFICENTE,50
CENTRO COM NOSSA SENHORA APARECIDA UNID FO V,50
AEC PADRE LUIZ SUTTER UNID XXXVII SM,50
CENTRO INT ED JOVENS E ADULTOS - IGUATEMI I,49
GUARAPIRANGA - FLORINDA LOTAIF SCHAHIN,49
SAPOPEMBA,49
CASP CENTRAL DE ASS E SOCIEDADES POPULARES,49
ROLANDO BOLDRIN,49
ASS MORADORES ZONA NORTE UNID II JT,48
UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E S JOAO CLIMACO,48
ASSOCIACAO CANTAREIRA UNID II FO,48
CENTRO INT ED JOVENS E ADULTOS - ERMELINO MATARAZZO,46
CENTRO INT ED JOVENS E ADULTOS - SANTANA/TUCURUVI,46
UNIAO DE MOR JD ANTONIETA PQ STO ANTONIO UNID III,45
CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL,44
CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO,43
ALUNA JESSICA NUNES HERCULANO,42
CLOVIS CAITANO MIQUELAZZO - IPIRANGA,41
QUINTA DO SOL,40
LAJEADO,39
CENTRO INT ED JOVENS E ADULTOS - ITAQUERA,39
CENTRO INT ED JOVENS E ADULTOS - VILA MARIA/VILA GUILHERME,37
INACIO MONTEIRO,35
CANTOS DO AMANHECER,35
JAMBEIRO - JOSE GUILHERME GIANETTI,33
AZUL DA COR DO MAR,33
SANTA ZITA,33
PARQUE VEREDAS - JOAO ANTONIO DA SILVA,32
VILA CURUCA - IRENE RAMALHO,31
INSTITUICAO BENEFICENTE NOSSO LAR,28
PERA MARMELO,28
ROSA DA CHINA,28
ASS FILHAS DE SANTA MARIA DA PROVIDENCIA - AFISMAP,27
INSTITUTO EFORT DE ACAO SOCIAL CULTURAL EDUCACAO PESQUISA,27
ASSOCIACAO NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE,27
CENTRO DE ACAO SOCIAL ESPACO LIVRE,27
PERUS,27
VILA DO SOL,26
INSTITUTO MATER DEI,26
GRUPO BRASIL DE APOIO AO SURDOCEGO E AO MULT DEF SENSORIAL,26
LAR MAE DO DIVINO AMOR,26
ASSOCIACAO NOSSA ESCOLA,26
ASSOCIACAO BENEFICENTE GUAINUMBI,26
A ALTERNATIVA - ASS DE ASSISTENCIA AO EXCEPCIONAL,26
ALVARENGA,26
ASSOCIACAO CASA DOS DEFICIENTES DE ERMELINO MATARAZZO-UNID I,25
CENTRO SOCIAL NOSSA SENHORA DA PENHA CENHA,25
TRES LAGOS,24
UIRAPURU,24
TIQUATIRA,23
JARDIM PAULISTANO,23
PARAISOPOLIS,22
SAO MATEUS,22
LELIA GONZALEZ,21
SAO RAFAEL,20
PARQUE ANHANGUERA,20
PAZ,19
JOSE MARIA WHITAKER,19
JACANA,19
MANOEL VIEIRA DE QUEIROZ FILHO,18
OLIVA IRENE BAYERLEIN SILVA,17
JULIO DE GRAMMONT,17
MODESTO SCAGLIUSI,17
MARIO LAGO,17
AURELIANO LEITE,16
OLEGARIO MARIANO,16
EDGARD CAVALHEIRO,16
VICENTINA RIBEIRO DA LUZ,16
ADEFAV-CENTRO DE RECURSOS EM DEFICIENCIA MULTIPLA,16
ESPACO DE BITITA,16
EZEQUIEL RAMOS JUNIOR,16
HELEN KELLER,16
VLADIMIR HERZOG,16
PERICLES EUGENIO DA SILVA RAMOS,16
ANTONIO PEREIRA IGNACIO,16
CARLOS CHAGAS,16
ARTHUR AZEVEDO,16
JARDIM DAS LARANJEIRAS,15
THEREZA MACIEL DE PAULA PROFA.,15
CASSIANO RICARDO,15
PLINIO SALGADO,15
JOAQUIM BENTO ALVES DE LIMA NETO,15
OSWALDO ARANHA BANDEIRA DE MELLO,15
JACKSON DE FIGUEIREDO,15
BADRA,15
EDUARDO PRADO,15
DAMA ENTRE RIOS VERDES,15
HERMES FERREIRA DE SOUZA,15
ALEXANDRE DE GUSMAO,15
PLINIO DE QUEIROZ,15
IRMA DERLY FABRES,15
ARMANDO ARRUDA PEREIRA,15
JARDIM FONTALIS,15
8 DE MAIO,15
JOSE OLYMPIO PEREIRA FILHO,15
EUZEBIO ROCHA FILHO,15
PAULO SETUBAL,15
MARCOS MELEGA,15
ERICO VERISSIMO,15
BENEDITO CALIXTO,15
ASSAD ABDALA,15
NEUZA AVELINO DA SILVA MELO,15
CLAUDIO MANOEL DA COSTA,15
EMILIO RIBAS,15
CONSTELACAO DO INDIO,15
SATURNINO PEREIRA,15
ANALIA FRANCO BASTOS,15
FORTE DOS REIS MAGOS,15
JAMBEIRO,15
GUIOMAR CABRAL,15
RUY BARBOSA,15
BARTOLOMEU LOURENCO DE GUSMAO,15
ELIAS SHAMMASS,15
SERGIO MILLIET,15
PROCOPIO FERREIRA,15
CIDADE DE OSAKA,15
CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS,15
TERESA MARGARIDA DA SILVA E ORTA,15
JOAO DA SILVA,15
AMADEU AMARAL,15
COELHO NETO,14
CACILDA BECKER,14
NUCLEO LAR SIRIO,14
TIJOLINHO,14
MILTON PEREIRA COSTA,14
RODRIGUES DE CARVALHO,14
RODRIGO MELLO FRANCO DE ANDRADE,14
BOA ESPERANCA,14
ALBERTO SANTOS DUMONT,14
SAO JOAO,14
PAULO NOGUEIRA FILHO,14
PERIMETRAL,14
CASA DOS MENINOS II,14
ANTONIA E ARTUR BEGBIE,14
PRACINHAS DA FEB,14
DIAS GOMES,14
VILA MUNCK,14
BERNARDO O HIGGINS,14
JOAQUIM OSORIO DUQUE ESTRADA,14
JARDIM SABIA,14
ROQUETTE PINTO,14
MINA,14
DILERMANDO DIAS DOS SANTOS,14
CENTRO DE CONVIVENCIA SANTA DORITEIA,14
RUI BLOEM,14
GUILHERME DE ALMEIDA,14
CHACARA TURISTICA,14
JOSE HONORIO RODRIGUES,14
MURURES,14
HUMBERTO DE CAMPOS,14
JULIO MESQUITA,14
JARDIM SIPRAMAR,14
AYRES MARTINS TORRES,14
CASA JOSE COLTRO,14
VIANNA MOOG,14
FERNANDO GRACIOSO,14
HERALDO BARBUY,14
JARDIM JAQUELINE - SAO GABRIEL,14
HENRIQUE SOUZA FILHO - HENFIL,14
JOSE AMERICO DE ALMEIDA,14
CONOSCO BARRAGEM,14
JOAO RIBEIRO DE BARROS,14
JOSE LINS DO REGO,14
CONOSCO BALNEARIO SAO JOSE,14
ARTHUR ALVIM,14
RAIMUNDO CORREIA,14
CEC PERSEVERANCA MARIA DA SILVA,14
ENEAS CARVALHO DE AGUIAR,14
ZULMIRA CAVALHEIRO FAUSTINO,14
JULIO DE OLIVEIRA,14
JOAO DOMINGUES SAMPAIO,14
COLMEIA,14
OCTAVIO MANGABEIRA,14
FAZENDA DA JUTA,14
OLAVO FONTOURA,14
CAPISTRANO DE ABREU,14
FIRMINO TIBURCIO DA COSTA,14
CCA,14
LEONOR MENDES DE BARROS,14
M BOI MIRIM II,14
HUMBERTO DANTAS,14
JOSE QUERINO RIBEIRO,14
HENRIQUE FELIPE DA COSTA - HENRICAO,14
FRANCISCO REBOLO,14
SUD MENNUCCI,14
ANTONIO CARLOS DE ANDRADA E SILVA,14
ESTACAO JARAGUA,14
MAURICIO SIMAO,14
PEDRO AMERICO,14
VIVENDA DA CRIANCA,14
BRASIL-JAPAO,14
SORAYA MARIA,14
PEDRO TEIXEIRA,14
SOLANO TRINDADE,14
HERBERT DE SOUZA - BETINHO,14
JOAQUIM NABUCO,14
PADRE GIUSEPPE PEGORARO,14
JEAN MERMOZ,14
CASTELINHO DOM BOSCO,14
PROJETO CULTURAL VIVARTE DANIEL COMBONI,14
MARLI FERRAZ TORRES BONFIM,14
PROJETO SOL,14
OCTAVIO PEREIRA LOPES,14
LOURENCO FILHO,14
RODRIGUES ALVES,14
GROSSARL,14
OSVALDO QUIRINO SIMOES,14
MAURICIO GOULART,14
LUCA,14
IRMA DULCE,14
REINO ENCANTADO,14
EDGARD CARONE,14
JOSE MARIA LISBOA,14
FE E ALEGRIA JARDIM SHANGRI-LA,14
LEONARDO VILLAS BOAS,14
DANYLO JOSE FERNANDES,14
PEDRO NAVA,14
SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA,14
FRANCISCO ALVES MENDES FILHO - CHICO MENDES,14
BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA,14
PAULO DUARTE,14
PLACIDO DE CASTRO,14
DEZOITO DO FORTE,14
VINTE E CINCO DE JANEIRO,14
JACEGUAVA,14
CEC ROBERTO CARELLI,14
PAULO PRADO,14
GUIMARAES ROSA,14
MARSILAC,14
MARTIN FRANCISCO RIBEIRO DE ANDRADA,14
JOAO DE DEUS CARDOSO DE MELLO,14
MARGARIDA MARIELLE,14
HERCILIA DE CAMPOS COSTA,14
TEOFILO BENEDITO OTTONI,14
HEITOR DE ANDRADE,14
SEFRAS CRIANCA PERI,14
ARTUR NEIVA,14
RAUL POMPEIA,14
ALVARES DE AZEVEDO,14
GERALDO SESSO JUNIOR,14
JARDIM DAMASCENO I - PROFESSOR JOAO ANTONIO FELICIO,14
CLEOMENES CAMPOS,14
OLIVEIRA VIANA,14
SEARA BENDITA,13
CEC SAMMUTTI,13
ADEMIR DE ALMEIDA LEMOS,13
PRESTES MAIA,13
ACM - SANTO AMARO,13
SANTO ADRIANO,13
GIANFRANCESCO GUARNIERI,13
NUCLEO CULTURAL SONHO JOVEM,13
CEC JARDIM ITAPOLIS,13
VILA ITAIM,13
CARLOS MARIGHELA,13
ARMANDO CRIDEY RIGHETTI,13
VILA CUORE,13
SANTA TERESA DE JESUS,13
CARLOS FRANCISCO GASPAR,13
IASE,13
IRMA AGOSTINA,13
PEDRO FUKUYEI YAMAGUCHI FERREIRA,13
LAR DAS CRIANCAS,13
VALE DAS VIRTUDES,13
JARDIM LARANJEIRAS,13
EMILIANO DI CAVALCANTI,13
DARCY RIBEIRO,13
ENSINANDO E APRENDENDO / JARDIM SAO CARLOS,13
JOVA RURAL II,13
AFAGO,13
PADRE TICAO,13
PARQUE BOA ESPERANCA II,13
PARQUE PAULISTANO,13
CRIANCA CRESCENDO CIDADA,13
BOA SORTE,13
CENTRO JUVENIL SALESIANO DOM BOSCO,13
CEC ELIZABETH GASPERAVICIUS,13
CIDADE NOVA,13
RECANTO SAO JOSE,13
PEDRO LUIZ,13
IMACULADA CONCEICAO,13
LIGA SOLIDARIA - UNIDADE SABIA,13
PADRE PIO,13
CASA DO ZEZINHO,13
JOAO AMOS COMENIUS,13
CIDADE IPAVA,13
ITALIANOS,13
NUCLEO 120,13
ANTONIO ALVES VERISSIMO,13
SANTA CRISTINA,13
IRMA JACINTA,13
CONOSCO,13
CEC A NOSSA CASA,13
LAR DONA TINA II,13
INSTITUTO ANA ROSA,13
JOAO GUALBERTO DO AMARAL CARVALHO,13
AMAI I - VILA ARCO IRIS,13
CCA -JARDIM DAS ROSAS,13
VIDA E CONVIVENCIA,13
JARDIM PARANAPANEMA,13
M BOI MIRIM I,13
ALTINO ARANTES,13
JARDIM SAO BENTO,13
VILA CURUCA,13
CEC SAO PEDRO,13
NOSSA SENHORA DO O,13
ZILDA ARNS,13
19 DE NOVEMBRO,13
ARTE & EDUCACAO - ANCHIETA,13
SANTA FE,13
IBRAHIM NOBRE,13
JARDIM PIRACUAMA,13
VILLA CRIANCA FELIZ,13
PE. FRANCO VILLA,13
FAGUNDES VARELLA,13
LUIS WASHINGTON VITA,13
IPAVA,13
MUTIRAO JARDIM FONTALIS,13
RAUL DE LEONI,13
JOCA,13
PARQUE CENTRAL,13
CASA DOM MACARIO,13
PADRE MENARD,13
AMIGOS DA VITORIA,13
NOVA UNIAO,13
FRATERNIDADE,13
TODOS IRMAOS,13
JAIRO RAMOS,13
AMA II,13
INSTITUTO BLANDINA,13
MARIO KOSEL FILHO,13
JARDIM AURELIO,13
OTONIEL MOTA,13
MADRE NAZARENA,13
TARSILA DO AMARAL,13
JUNTOS I,13
PROJETO JOSE DE ANCHIETA,13
TERCEIRO MILENIO ITAIM VI,13
ALEXANDRE VANNUCHI LEME,13
ALTO DA RIVIERA,13
SONIA MARIA MACHADO,13
RECONCILIACAO,13
GERACAO DE SAMUEL,13
CURUCA,13
JARDIM DAS ROSAS,13
PLACIDO DE SOUZA FILHO,13
QUADRANGULAR,13
INSTITUTO RURAL,13
SITIO DA CASA PINTADA - MOCA,13
ULYSSES DA SYLVEIRA GUIMARAES,13
ARIANO SUASSUNA,13
ANTONIO ESTANISLAU DO AMARAL,13
ASSORAVIM,13
AQUARELA BIASI,13
PROF,13
BOM JESUS DO CANGAIBA,13
PROVIM - PROGRAMA VIDA MELHOR - DOM BOSCO,13
CEC SAO FRANCISCO E SANTO ANDRE,13
ANTONIO DE ALCANTARA MACHADO,13
IZAURA MARIA DA CONCEICAO,13
LIGA SOLIDARIA,13
SOLID ROCK,13
BOTURUSSU,13
C.E.C. JOAO PAULO II,13
APROCIMA,13
ARTE DE SER FELIZ,13
PARCEIROS DA CRIANCA,13
TEREZINHA MOTA DE FIGUEIREDO,13
IRINEU MARINHO,13
GERACAO DO FUTURO,13
CASA DA CRIANCA SANTA ANGELA,13
AZIZ NACIB AB SABER,13
SEGUIR SONHANDO,13
EDSON RODRIGUES,13
COR,13
