escola,average_age
22 DE MARCO,13
CENTRO EDUCACIONAL DOM ORIONE,13
VIRGILIO DE MELLO FRANCO,13
MARTIN LUTHER KING JR,13
ZILKA SALABERRY DE CARVALHO,13
LAGOA,13
ALEGRIA E VIDA,13
RECANTO DOS HUMILDES,13
SAO LUIZ GONZAGA,13
AMCOSE,13
GROSSARL CAMPO GRANDE,13
CEBECH CASTRO ALVES,13
VALO VELHO,13
SEMEANDO VIDAS III,13
JARDIM SINHA,13
MUTIRAO DO POBRE,13
MARIA RITA LOPES PONTES - IRMA DULCE,13
FREI TITO,13
JOSE SARAMAGO,13
VISTA ALEGRE,13
MORRO GRANDE,13
MARIELLE FRANCO,13
SERRA DO MAR,13
PERSEVERANCA III,13
CEJOLE,13
SEMEANDO VIDAS IV,13
JARDIM SAO LORENCO,13
ANNA SILVEIRA PEDREIRA,13
RECANTO DOS HUMILDES II,13
BRASILIO MACHADO NETO,13
JOSE DE ALCANTARA MACHADO FILHO,13
ACAS,13
SAO PEDRO APOSTOLO - OASPA,13
MAURO FACCIO GONCALVES - ZACARIA,13
CEC SANTA ROSA DE LIMA,13
MARINA VIEIRA DE CARVALHO MESQUITA,13
ARTE NA RUA,13
ROGACIONISTA,13
CASA DE SAO JOSE,13
ALCEU AMOROSO LIMA,13
ESPACO COM VIVER - JARDIM DOM JOSE,13
HELIOPOLIS,13
HIPOLITO JOSE DA COSTA,13
SANTO AGNELO,13
SAB - SAPOPEMBA,13
SAO NICOLAU,13
ACM LAPA,13
BATISTA,13
CECILIA MEIRELES,13
IVM,13
VILA YOLANDA,13
CASA FILADELFIA,13
CASA DO CRISTO REDENTOR,12
JARDIM PAULO VI,12
CIDADE DO SOL / IMPERADOR,12
SOLID ROCK BRASIL II,12
ENRICO GIUST,12
AMANHA-SER,12
CARLOS AUGUSTO DE QUEIROZ ROCHA,12
GOTAS DE ESPERANCA,12
BETSAIDA,12
MIOSOTIS,12
REINO DA CRIANCA,12
JOVA RURAL III,12
CONSTRUIR O AMANHA,12
CEAS SANTA TERESINHA,12
SEMEANDO VIDAS VI,12
FEITICO DA VILA,12
ARICANDUVA AMAP,12
SANTA ROSA II,12
SAO JOSE,12
VILA LONDRINA,12
CENTRO SOCIL ESPERANCA,12
MARY,12
AMAS - VILA FORMOSA,12
RAUL PILLA,12
SAL DA TERRA,12
PEINHA,12
CASULO,12
SOLID ROCK VILA MEDEIROS,12
SAO JOAQUIM,12
MURIALDO,12
ACM NORTE,12
JOSE DO PATROCINIO,12
MARIO FITTIPALDI,12
SAO PAULO DA CRUZ,12
PARQUE SAO CARLOS,12
AMIGOS DAS CRIANCAS DO SAO DOMINGOS,12
JOSE RAMOS FILHO,12
DANIEL COMBONI V,12
PADRE JOSE,12
PROF. JOSE HERCULANO PIRES I,12
NAIA,12
JARDIM PRINCESA,12
PALMARES,12
VILA PRINCESA IZABEL - 3 MILENIO,12
ARCO,12
JARDIM BRASIL,12
CEC EMILIA MENDES DE ALMEIDA,12
JARDIM ANA MARIA,12
VILA BELA,12
NOSSA SENHORA APARECIDA II,12
SANTA ROSA I,12
JARDIM IBIRAPUERA,12
SANTO EXPEDITO,12
CES SAO FRANCISCO DE ASSIS,12
CARMEM MENDES CONCEICAO,12
TATIANA BELINKY,12
SANTO ANTONIO II,12
XICO ESVAEL,12
SANTO ESTEVAO,12
JARDIM PIRITUBA,12
BEIJA FLOR,12
CANARINHO,12
ASA PRIMAVERA,12
EDUCANDARIO SAGRADA FAMILIA,12
ESTACAO ADOLESCER,12
CAMILLE FLAMMARION,12
ALEGRIA DE VIVER,12
PADRE MOREIRA,12
CDC LEIDE DAS NEVES,12
NUCLEO SOCIO EDUCATIVO NOSSO LAR,12
SEMEANDO VIDAS V,12
AMIGOS DA ESPERANCA,12
AME,12
PARQUE FLORESTAL,12
ELO DE AMOR,12
CRIANCA CIDADA,12
RODOLFO PIRANI,12
LAR DA CRIANCA,12
PARQUE MANDY,12
ANTONIO PREVIATO,12
NOSSA SRA. DA PROVIDENCIA,12
PARQUE BELEM,12
GAIVOTAS,12
CASA DA CRIANCA E DO ADOLESCENTE,12
MADRE RITA AMADA DE JESUS,12
EUCLIDES DA CUNHA,12
NOSSA SENHORA AUXILIADORA,12
PERSEVERANCA I,12
NOSSA SENHORA DOS REMEDIOS,12
BRINCAR DE VIVER,12
AGLAEZINHA,12
SANTA MIRIAM,12
NOVO LAR BETANIA,12
NSE CENTRO SOCIAL CORACAO DE MARIA,12
APAE - NUCLEO PIRITUBA,12
CEC CARRAOZINHO,12
SANTA MADALENA,12
BANDEIRANTES E UNIVERSAL,12
ANHANGUERA,12
SAO FRANCISCO,12
THEO DUTRA,12
JARDIM CLIMAX,12
JOVA RURAL I,12
LAR SAO TIAGO,12
DOM LUCIANO MENDES DE ALMEIDA,12
SAO PATRICIO,12
SAO CARLOS,12
JARDIM SAPOPEMBA,12
ANA MARIA,12
ARMANDO DE SALLES OLIVEIRA,12
GEORGINA DO CARMO MOREIRA,12
NOSSA SENHORA DE GUADALUPE,12
DONA DIVA,12
VILA FANTON,12
JOEL FERNANDES DE SOUZA,12
DRA ZILDA ARNS NEUMANN,12
JARDIM GUARUJA,12
RECANTO GAETANO E CARMELA,12
ACM CENTRO DE SESENVOLVIMENTO COMUNITARIO VILA MARIA,12
MAE ADMIRAVEL,12
FREI LEONEL,12
PASCHOAL BIANCO,12
AMAS LIBERDADE,12
JARDIM BRITANIA,12
FILHOS DA TERRA,12
ELISA MARIA,12
CRESCER II,12
JARDIM COIMBRA,11
LAR BATISTA DE CRIANCAS,11
VILA RUBI,11
CASTRO ALVES,11
VARGEM GRANDE,11
NOSSO LAR - TATUAPE,11
JOSE BONIFACIO,11
CANDIDO PORTINARI,11
GAOS,11
SANTA CLARA,11
CEC CRISTO REI,11
MARIA CLARA MACHADO,11
NAZARETH VIDA NOVA,11
SANTA MARCELINA,11
CONSTRUINDO O FUTURO,11
CHACARA SONHO AZUL,11
VINICIUS DE MORAES,11
CITY JARAGUA IV,11
PLINIO MARCOS,11
JARDIM DA CONQUISTA,11
LOURIVAL BRANDAO DOS SANTOS,11
PEDRO GERALDO SCHUNCK,11
MENINOS E MENINAS DO ABC AURORA,11
GOTAS DE FLOR COM AMOR,10
CEDRO DO LIBANO II,10
ALPS,10
NOSSA SENHORA DO CARMO,10
ESTRELA NOVA,10
JOAO XXIII,10
INSTITUTO SEVERINO FABRIANI PARA CRIANCAS SURDAS,10
ALEGRIA,10
JARDIM ELIANA,10
CRIANCA FELIZ,10
AGUAS DE MARCO,10
AYANDA - ADAO MANOEL DA SILVA,10
JARDIM MONTE BELO,10
ARRASTAO,10
MONTE AZUL,10
VARGEM GRANDE II,10
CEDRO DO LIBANO I,10
VILA MARILENA,10
CRE-SER,10
SETE PRAIAS,10
JOAO PAULO I,10
RECANTO DOS HUMILDES I,9
ZUMBI DOS PALMARES,9
SANTA RITA DE CASSIA,9
SAO JOSE OPERARIO,9
ALTO ALEGRE,9
MARIA CURSI,9
BOM JESUS,9
PIRATININGA,9
JARDIM IPANEMA,9
JARDIM SILVEIRA,9
FORHUM LAR,9
BELA VISTA,9
PAULO VI,9
VILA CRUZEIRO,9
JARDIM VERA CRUZ,9
PARQUE BRISTOL,9
ARCA DO SABER,9
MONTEIRO LOBATO,9
RAINHA DA PAZ,9
SANTA CRUZ,9
PARQUE SANTA RITA,9
DANIEL COMBONI I,9
SAO GABRIEL,9
JARDIM MITSUTANI,9
CIDADE DUTRA,9
TIAOZINHO,8
SAO NORBERTO,8
PEDREIRA I,8
JARDIM EVA,8
SOL NASCENTE,8
AFRANIO PEIXOTO,8
CANAL DO COCAIA,8
FILHOS DO REI,8
ANTON MAKARENKO,8
JARDIM PANAMERICANO,8
PARQUE COCAIA II,8
DILSON FUNARO,8
CAMINHANDO PARA O FUTURO,8
SANTA CECILIA,8
MARCILIO DIAS,8
CAMPO LIMPO VI,8
CORACAO MATERNO,8
GELOIRA DE CAMPOS,8
VILA ATLANTICA,8
JARDIM AMERICANOPOLIS,8
NINI DUARTE,8
ERNANI SILVA BRUNO,8
SANTA LUZIA,8
EDUARDO CARLOS PEREIRA,8
CIDADE TIRADENTES IV,8
ANTONIO GONCALVES DIAS,8
CLARET,8
GRAJAU,8
LUIZA HELENA DE BARROS,8
BRAZ JAIME ROMANO,8
CASA BLANCA,8
JOAO MENDONCA FALCAO,8
MAGDALENA TAGLIAFERRO,8
JARDIM TIETE,8
JOSE BONIFACIO DE ANDRADA E SILVA,8
PARQUE SANTO ANTONIO I,8
ANGELO MARTINO,8
ESPACO KAIROS VIII,8
MENINO DEUS,8
VARGEM GRANDE I,8
CLARICE LISPECTOR,8
ISA SILVEIRA LEAL,8
FLORESCER,8
VO XINHA,8
MAMAE,8
CRUZ DE MALTA,8
JAGUARE,8
JOSE DE ALENCAR,8
SANTA TEREZINHA,8
EDNA ALVES DE SOUSA PROFA,8
SAO SEBASTIAO,8
CAMINHO DOS MARTINS,8
LAR PARAISO DAS CRIANCAS,8
BENJAMIN CONSTANT,8
JARDIM COLONIAL,8
JOAO PAULO II,8
GLOBO DO SOL,8
BUTANTA,7
ANTONIO DE PADUA,7
WILSON REIS SANTOS,7
JOAQUIM ANTONIO DA ROCHA,7
TRES PONTES,7
JARDIM PREMIANO,7
ALUISIO DE ALMEIDA,7
VIRGILIO TAVORA,7
JARDIM NOVO SANTO AMARO - ALICE ALVES MARTINS,7
JOSE DUARTE,7
MANOEL DE ALVARENGA FREIRE JUNIOR PROF,7
MARGARETH DE FATIMA MARQUES DE AZEVEDO,7
MANUEL BANDEIRA,7
FRANCISCO ROQUETTI,7
JOSE CLEMENTE PEREIRA,7
ANTONIO LAPENNA,7
JOSE VERISSIMO,7
MUNDO NOVO,7
SAO JOAO BATISTA,7
MARIA JOSE DUPRE,7
CLARA NUNES,7
OTAVIO JOSE DA SILVA JUNIOR,7
NOSSA SENHORA DO DIVINO PRANTO,7
PIRAJUSSARA,7
EDER SADER,7
ORIGENES LESSA,7
BOM RETIRO,7
CLEMENCIA FERREIRA DA SILVA,7
PERIMETRAL I,7
VILA FLAVIA,7
ROBERTO VICTOR CORDEIRO,7
JARDIM HELENA,7
ANTONIO CALLADO,7
EPITACIO PESSOA,7
FELIPE DOLIVEIRA,7
FLAVIO IMPERIO,7
ANGENOR DE OLIVEIRA - CARTOLA,7
CONJ. RESIDENCIAL ELISIO TEIXEIRA LEITE,7
SAO PAULO,7
NENE DO AMANHA,7
CAMBALHOTA,7
JARDIM CAMARGO NOVO,7
CRUZ E SOUSA,7
SEVERINO DO RAMO,7
JARDIM FELICIDADE,7
CASIMIRO DE ABREU,7
JARDIM NOVO PARELHEIROS I,7
JOSE ROSCHEL CHRISTI - JUCA ROCHA,7
AURELIO BUARQUE DE HOLANDA FERREIRA,7
FELIPE MESTRE JOU,7
ECUMENICO STO EXPEDITO,7
BRENNO FERRAZ DO AMARAL,7
BETTY LAFER,7
OVIDIO DECROLY,7
ANTONIO FRANCISCO LISBOA,7
FRANCISCO ADAUTO RODRIGUES,7
JOSE JOAQUIM DA SILVA,7
ALUISIO DE AZEVEDO,7
JULIA SAPUCAIA,7
JARDIM IDEAL,7
7 DE SETEMBRO,7
SAO FRANCISCO DE ASSIS,7
NOSSA SENHORA APARECIDA,7
SERGIO CARDOSO,7
9 DE JULHO,7
ROSA E CAROLINA AGAZZI,7
JARDIM LUCELIA,7
JULIO DE MESQUITA FILHO,7
MARTINS FONTES,7
MARIA EUGENIA FAKHOURY,7
TOMAS GALHARDO,7
RICARDO GONCALVES,7
CASPER LIBERO,7
GUARAPIRANGA,7
GUILHERME RUDGE,7
LIBERDADE,7
CIDADE A E CARVALHO,7
VILA NATAL,7
MORUMBI,7
CIDADE DO SOL,7
ALBERTO DE OLIVEIRA,7
ANTONIO BENTO,7
VILA CALU I,7
CLYCIE MENDES CARNEIRO,7
MARECHAL TITO,7
EURIPEDES SIMOES DE PAULA,7
GEORGE SAVALLA GOMES - CAREQUINHA,7
MONTESE,7
CARLOS DRUMMOND DE ANDRADE,7
ESTRADA DO CORREDOR,7
FERNANDO DE AZEVEDO,7
ELOYSE I,7
PARQUE BOLOGNE,7
JARDIM MONJOLO I,7
VIRIATO CORREIA,7
PARQUE SANTA RITA I,7
CARLOS GOMES,7
LAUDO FERREIRA DE CAMARGO,7
CAIO GRACO DA SILVA PRADO,7
JULIO ALVES PEREIRA,7
VILA VERDE,7
AYRTON SENNA DA SILVA,7
ANTONIO MUNHOZ BONILHA,7
GLEBA DO PESSEGO,7
FERNANDO PESSOA,7
BATUIRA,7
AMAS TUCURUVI,7
JOAO THEODORO,7
BATISTA CEPELOS,7
JARDIM DA CONQUISTA II,7
CECILIA MEIRELLES,7
JARDIM APURA,7
JARDIM MARIA LUIZA,7
ANITA GARIBALDI,7
ARTHUR BAPTISTA DA LUZ,7
LUIS TRAVASSOS,7
FRANCISCA JULIA DA SILVA,7
MANOEL FIEL FILHO,7
PAULO FREIRE,7
FLORINDA ROBERTO QUEIROZ DE CASTRO,7
CARLOTA PEREIRA DE QUEIROZ,7
LUIS GAMA,7
MARIO GRACIOTTI,7
BORBA GATO,7
DINA KUTNER DE SOUZA - DINA SFAT,7
SAMUEL WAINER,7
MARINA NOGUEIRA DE SOUZA MARTINS,7
PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO,7
RIO PEQUENO I,7
MACHADO DE ASSIS,7
ALFREDO DA ROCHA VIANA FILHO - PIXINGUINHA,7
ESTRADA TURISTICA DO JARAGUA,7
IBIAPABA MARTINS,7
ANTONIO RAPOSO TAVARES,7
JOAO RUBENS MARCELO,7
CHIQUINHA GONZAGA,7
QUINTA DAS PAINEIRAS,7
EVARISTO DA VEIGA,7
DANTON CASTILHO CABRAL,7
MANOEL PRETO,7
NAJLA CURI IZAR,7
DORALICE PEREIRA DE SOUZA LEONARDO,7
ANDORINHA DOS BEIRAIS,7
NELSON MANDELA,7
ICAMI TIBA,7
AMACIO MAZZAROPI,7
TRAVESSA DOS SONHOS,7
CRECHE TIA LOURDES,7
JARDIM UMARIZAL,7
CARMEN DA SILVA,7
ALFREDO VOLPI,7
SILVIO ROMERO,7
OLAVO BILAC,7
HEITOR VILLA LOBOS,7
PEDROSO DE MORAES,7
GABRIEL PRESTES,7
GLAUBER ROCHA,7
RODRIGO SOARES JUNIOR,7
NEUSA MARIA ROSSI,7
VICENTE DE CARVALHO,7
ELIS REGINA,7
ABELARDO GALDINO PINTO - PIOLIN,7
CORNELIO PIRES,7
NOEMIA IPPOLITO,7
ROBERTO BURLE MARX,7
DOLORES DURAN,7
JOSE MAURO DE VASCONCELOS,7
PARADA DE TAIPAS,7
CASA DA CRIANCA,7
MARIALICE MENCARINI FORACCHI,7
ASSIS CHATEAUBRIAND,7
JESUINA NUNES BARBOSA,7
VILA EMA,7
NOSSA SENHORA DE FATIMA,7
APARECIDA CANDIDA DOS SANTOS DE JESUS - DONA CIDICA,7
PERO NETO,7
RAUL JOVIANO DO AMARAL,7
ARMANDO DE ARRUDA PEREIRA,7
PEROLA ELLIS BYINGTON,7
AUGUSTO FROEBEL,7
GRACILIANO RAMOS,7
ADEVALDO DE MORAES,7
SANTO DIAS DA SILVA,7
TOMAS ANTONIO GONZAGA,7
CIDADE ADEMAR III,7
PAULO CAMILHIER FLORENCANO,7
OLIVEIRA LIMA,7
ZELIA GATTAI,7
LUIS DA CAMARA CASCUDO,7
PAULO ZINGG,7
BARBARA HELIODORA GUILHERMINA DA SILVEIRA,7
CONJ. HABITACIONAL VALO VELHO,7
JANETE CLAIR,7
ORLANDO VILLAS BOAS,7
LICEU,7
PARQUE BRASIL,7
JARDIM VILA NOVA,7
MIROEL SILVEIRA,7
JEAN PIAGET,7
VICENTE PAULO DA SILVA,7
JARDIM SAO PAULO,7
AFONSO SARDINHA,7
MONTE CASTELO,7
PESTALOZZI,7
JORGE AMADO,7
MARIA ISABEL PACHECO DE ALMEIDA RIBEIRO,7
RODOLFO TREVISAN,7
ANTONIO PEREIRA LIMA,7
SANTA EDWIGES,7
MARIO SETTE,7
ANA NERI,7
VANDA COELHO DE MORAES,7
25 DE JANEIRO,7
SAVA POPOVIC,7
JOAQUIM MANUEL DE MACEDO,7
SANTOS DUMONT,7
FERNANDO SABINO,7
CARLOS DE LAET,7
JARDIM SAO BERNARDO,7
UNIAO DE VILA NOVA I,7
NOVA AMERICA,7
MARIA LACERDA DE MOURA,7
J.G. DE ARAUJO JORGE,7
CENT COMUN JOAO PAULO I - NC CON ANTONIO TOZELLI,7
CHARLES CHAPLIN,7
CARMEM MIRANDA,7
PEDRO DE TOLEDO,7
LAJEADO II,7
VILA SANTA CATARINA,7
NAIR CORREA BUARQUE,7
MARIA QUITERIA,7
TIDE SETUBAL,7
MARY BUARQUE,7
LOURO ROSA,7
JARDIM MARILIA,7
CLOVIS BEVILACQUA,7
ODUVALDO VIANA FILHO,7
SERGIO DUARTE MAMBERTI,7
ARACY DE ALMEIDA,7
ELISA KAUFFMANN ABRAMOVICH,7
IGUATEMI,7
JOAO CANDIDO,7
ANGELO KRETA,7
CONJ. HABITACIONAL SAO FRANCISCO,7
OSCAR PEDROSO HORTA,7
VALDIR AZEVEDO,7
CHACARA SANTA MARIA,7
RODRIGUES DE ABREU,7
BIELZINHO I,7
RAIO DE SOL - AMELIA DINIZ ANTAS,7
CATULO DA PAIXAO CEARENSE,7
MITSUTANI,7
ATAULFO ALVES,7
VILA ANGLO,7
PATRICIA GALVAO,7
LEONARDO ARROYO,7
LEILA DINIZ,7
RACHEL MESQUITA DE SALLES OLIVEIRA,7
DULCE HAUCK,7
OSWALDO CRUZ,7
PEDRO BRASIL BANDECCHI,7
CONJ. HABITACIONAL GOITI,7
DINAH SILVEIRA DE QUEIROZ,7
CIDADE FERNAO DIAS,7
ANISIO TEIXEIRA,7
JARDIM GAIVOTAS,7
ANTONIO FIGUEIREDO AMARAL,7
JARDIM MYRNA,7
LUIZ GONZAGA DO NASCIMENTO - GONZAGAO,7
ARTHUR ETZEL,7
MARIO DE ANDRADE,7
RUBENS NASCIMENTO DA SILVA - MEXICANO,7
JARDIM JARAGUA,7
FORMOSA,7
JARDIM KAGOHARA I,7
AFONSO CELSO,7
PORTO NACIONAL,7
JARDIM SANTA TEREZINHA,7
EMIR MACEDO NOGUEIRA,7
ORMINDA PINTO,7
BEGONIA REAL,7
BERTHA LUTZ,7
DELFINO AZEVEDO,7
RONALD DE CARVALHO,7
QUINTAL DA CRIANCA,7
FRANCISCO MANUEL DA SILVA,7
QUINTINO BOCAIUVA,7
CHACARA DONA OLIVIA,6
CANTINHO DOS TESOUROS,6
RIO CLARO,6
LILIANE SANTANA,6
MAE ACHIROPITA,6
JARDIM KIOTO,6
ARICANDUVA,6
ALICE ALVES,6
BIELZINHO,6
JARDIM DOM JOSE I - RAQUEL TRINDADE,6
ADONIRAN BARBOSA,6
TRES PASTORINHOS,6
OLGA BENARIO PRESTES,6
KALIXTO MENDES II,6
CAROLINA MARIA DE JESUS,6
NAVEGANTES,6
ESPERANCA,6
JARDIM DA ALEGRIA,6
VILA AIMORE,6
MORRO DOCE,6
JARDIM IPORANGA,6
PACHECO GATO,6
EMMANUEL FILHO,6
VICENTE MATHEUS,6
JARDIM LAPENNA I,6
PINHEIRINHO DAGUA,6
GERALDO MAGELA PERON,6
ODILIA ALVES ALMEIDA SANTOS,6
LUIZA SOPHIA ROSCHEL,6
JARDIM ANGELA - TULA PILAR FERREIRA,6
RECANTO DOS SONHOS,6
CAMINHO DOURADO,6
JARDIM KLEIN,6
SAO LUCAS,6
MARIA MONTESSORI,6
NOVO MUNDO,6
PARQUE DO CARMO,6
CANTINHO DO TIO ESTEVAM,6
LETICIA RIBEIRO PORTO,6
JARDIM MACEDONIA,6
JARDIM SOARES II,6
NEIDE KETELHUT,6
PEIXINHO DE OURO,6
SAO BENTO,6
CONSOLATA,6
CAMINHO DO MAR,6
LAZARA VEIGA CATELLANI,6
PARQUE SAVOY CITY,6
CIRANDA CIRANDINHA,6
MARCIA KUMBREVICIUS DE MOURA,6
O SEMEADOR,6
JARDIM SAO LUIZ I,6
IRAPARA,6
CENTRO SOCIAL MARISTA ROBRU,6
NOSSA SENHORA DE LOURDES,6
ANJO RAFAELA,6
FREGUESIA DO O,6
CAMPO LIMPO,6
CENTRO DE ASSISTENCIA SOCIAL BRAS MOOCA I,6
MARGARIDA MARIA ALVES,6
JARDIM IMPERADOR,6
VALE DOS SONHOS,6
SANTA RITA,6
PARQUE DO LAGO,6
SUZANA CAMPOS TAUIL,6
JARDIM RUTH,6
SANTA MARINA,6
SHAMMAH KIDS,6
CORA CORALINA,6
JARDIM DAS PALMAS,6
SAO MIGUEL,6
KALIXTO MENDES,6
CORETO DE TAIPAS,6
PENHA,6
ELIZA BOTELHO BYINGTON,6
PARQUE SANTO ANTONIO,6
JOSE DIAS PEQUENO PRINCIPE,6
JARDIM SAO LUIZ II,6
SERGIO LESSA DA FONSECA,6
CARMELO CALI,6
VILA DO SOL I,6
ELIANA E SUA TURMINHA II,6
BARONESA DE LIMEIRA,6
CASA BATISTA DA AMIZADE,6
CRISTAL,6
DOCE INFANCIA IV,6
GOLFINHO DOURADO I,5
DIAMANTES,5
BRILHO DE LUZ II,5
RAIO DE ESPERANCA,5
ASBEN III,5
JARDIM SANTA ETELVINA,5
MUNDO ENCANTADO III,5
ADONAI,5
SAO LUIZ,5
ESPACO CRIANCA REVERENDO EZEQUIAS DOS SANTOS,5
NOVO CRUZEIRO,5
LUCIA HELENA PRADO BARRETO,5
VOVO BERNARDO JOSE FRANCA,5
QUERUBIM,5
RAIO DE SOL III,5
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA XIII,5
ESPACO DA COMUNIDADE VI,5
NOSSAS CRIANCAS,5
ESTRELA CADENTE,5
ALFA E OMEGA,5
SAO JUDAS TADEU,5
CONSTRUINDO O FUTURO II,5
GALILEU MENON,5
LAPIS DE COR,5
ABILIO CESAR,5
JARDIM ENCANTADO,5
ALEGRIA DE APRENDER E CRIAR,5
CIDADE PEDRO JOSE NUNES,5
JARDIM LUZITANIA,5
PRIMEIRO LAPIS III,5
MONT SINAI I,5
ELZA VILLELA,5
PASSO A PASSO,5
JARDIM DOS REIS,5
CRIANDO SONHOS,5
JARDIM RODRIGO,5
SANTA TEREZA DE JESUS,5
JOSE NELSON DE OLIVEIRA E FREITAS,5
CRE SER I,5
ANTONIO ALVES DE ARAUJO,5
JARDIM DAS PEDRAS,5
PROJETO ANCHIETA,5
SANTA CATARINA III,5
JOSE CLAUDIO VIEIRA,5
SEMENTINHA DO SABER,5
CENTRO SOCIAL DA CRIANCA,5
PRINCESA LORENA,5
ANTONIO NUNES,5
ARCO-IRIS,5
ESPACO KAIROS KANOE,5
ASAS DE ALGODAO,5
TATU BOLINHA,5
ESPACO KAIROS V,5
GOTA DE ESPERANCA V,5
PARQUE DOROTEIA,5
MENSAGEM DE PAZ,5
PAULA MARIA,5
MANTO AZUL,5
JOAO DIAS,5
MONTE CARMELO,5
JACARANDA,5
JARDIM BELA VISTA,5
IMPERIO DAS CRIANCAS,5
IASHUA,5
HORIZONTES DO SABER,5
EVA LUIZA ROSA,5
CIA DOS SONHOS I,5
LOURDINHA PINHEIRO II,5
PARQUE SANTA MADALENA,5
CASA DOM GASTAO,5
DOUGLAS DANIEL DO NASCIMENTO,5
JARDIM DOS PEQUENINOS,5
SAO BERNARDO,5
JOAO BENTO DE CARVALHO,5
CHICA DA SILVA,5
JARDIM LUSO,5
RUGRATS OS ANJINHOS VIII,5
VOVO DEDE,5
MUNDO COLORIDO,5
PARQUE FERNANDA,5
BRYAN BIGUINATI JARDIM,5
CIA DOS SONHOS II,5
ANNABEL FORMIGA,5
JARDIM MONTE ALEGRE,5
AMOR ETERNO,5
ESPACO KAIROS IV,5
PRO-EDUCAR,5
TIO TUTA,5
JARDIM TRES ESTRELAS,5
SAMARITANINHOS VIII,5
VILA BASILEIA,5
VILA PRAIA,5
PARQUE NOVO MUNDO II,5
VILA ERNESTINA,5
VERA CRUZ,5
PEQUENOS BRILHANTES,5
HELENA IRACY JUNQUEIRA,5
MONTE CARMELO II,5
NOSSA SENHORA DA PROVIDENCIA,5
ESTRELINHAS DE PARAISOPOLIS,5
NOSSO ENCANTO,5
MACEDONIA III,5
JARDIM SOUZA,5
LAR PAULO DE TARSO,5
ROSA MARIA,5
CAMINHAR E PRECISO I,5
PENTAGRAMA II,5
RUGRATS OS ANJINHOS V,5
JOVELINA ALVES FEITOZA,5
MARIA DA CONCEICAO SANTANNA,5
KADOSH,5
CAMINHAR,5
CAMINHAR VI,5
MATERNA,5
PLENO VIVER II,5
SAO LUIS GONZAGA,5
VALENTINA FERREIRA,5
ESTACAO KIDS,5
MAYARA,5
FUTURO BRILHANTE V,5
ARTE E CRIANCA,5
COMUNIDADE FELIZ CRECHE,5
GABRIELA MISTRAL,5
ALPS JARDIM ROBRU,5
MARIA AMELIA GONCALVES,5
SAMIR RACHID SALIBA,5
ESTRELA GUIA,5
LAR DO PEQUENO SAMARITANO,5
JARDIM SILVA TELLES,5
TEOTONIO VILELA,5
HAVILAH,5
JARDIM GUANCA,5
JARDIM DA INFANCIA,5
LE COM CRE,5
ESTRELAS BRILHANTES,5
LUIZ GONZAGA DO NASCIMENTO JR.,5
CEREJEIRAS,5
SOL DO MEIO DIA II,5
A MAO COOPERADORA - NUCLEO VILA NATAL,5
JABAQUARA,5
GRANDE PRINCIPE,5
MALVINA FENUCHI,5
PEDRO HENRIQUE SIQUEIRA LIMA,5
SONHO DE CRIANCA,5
JARDIM SAO JOAQUIM,5
TERRA NOSSA,5
PENHA - BOM JESUS,5
CARRAO II,5
ACUCENA JORGE LIAN,5
VISAO EDUCATIVA,5
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNID XII,5
MARIA HENRIQUE DE LIMA,5
NOVA ESPERANCA,5
RAIO DE LUZ,5
BELEM,5
SORRISOS DE CRIANCA,5
JOCELYNE GUIMARAES FERNANDES DE MELLO,5
BRAZILIA LACERDA DE ARRUDA BOTELHO,5
NOVE DE JULHO,5
NOSSA SENHORA DO CAMINHO II,5
SANTA DULCE DOS POBRES,5
DONA BELA,5
ACOLHER I,5
PAULINOEVA,5
VILA RICA,5
VILA SILVIA,5
NOSSAS CRIANCAS II,5
ELZA NEGRO,5
CORACAO DE MARIA,5
JARDIM CLIMAX II,5
PARELHEIROS,5
NAIR TADIELLO GRACIOSO,5
REFERENCIA,5
ASSOC UNIAO DA JUTA,5
BARBARA HELIODORA,5
ADELAIDE LOPES RODRIGUES,5
JARDIM DAS ORQUIDEAS,5
DONIZETE,5
ALAMEDA DO BEBE,5
UNIVERSO DA CRIANCA III,5
JARDIM DA VOVO ANA,5
JARDIM CAMARGO VELHO,5
MAURICIO GOMES,5
WALTHER SOMMERLATH,5
AS PRINCESAS,5
SANTA ANGELA,5
SONHO MAGICO,5
ALEGRETTI,5
AIDA CONCEICAO PITTOL DA SILVA,5
PEDRO SOBRINHO,5
IVETTE ATALLAH,5
MONT SINAI III,5
CASA DA INFANCIA DO MENINO JESUS,5
SAN MINIATO,5
PEROBEIRAS,5
VILA MEDEIROS,5
JEOVA RAFA,5
LIU SHIE LIN,5
AMERICO DE SOUZA,5
JARDIM MONTE VERDE,5
CARROSSEL,5
ALGODAO DOCE,5
APRENDENDO COM ALEGRIA,5
FONTE DOS SONHOS,5
REGINA SIMOES,5
ABC AURORA II,5
CASTILHO II,5
LUIZ DEDA,5
SANTA TERESA,5
CANTINHO VILA PERUS,5
PARQUE BOTURUSSU,5
LEAOZINHO,5
VILA CONSTANCIA,5
NANY APPLE KIDS,5
PINTANDO O SETE,5
MARIA HENRIQUETA CATITE,5
